time, branch, name, order, price, payment, credit-card-number
8/8/2023 9:00,Uppingham,Benjamin Moyer,"Regular Flavoured hot chocolate - Vanilla - 2.60, Regular Flavoured hot chocolate - Vanilla - 2.60",5.2,CASH,
8/8/2023 9:01,Uppingham,Angela Tran,Regular Speciality Tea - Green - 1.30,1.3,CARD,5.19536E+15
8/8/2023 9:02,Uppingham,Alfred Reid,Large Flavoured latte - Caramel - 2.85,2.85,CARD,5.94405E+15
8/8/2023 9:03,Uppingham,Rosetta Gamez,Large Speciality Tea - Peppermint - 1.60,1.6,CARD,3.7579E+15
8/8/2023 9:04,Uppingham,Diane Natalie,"Large Flavoured latte - Hazelnut - 2.85, Large Hot chocolate - 2.90, Large Flavoured latte - Caramel - 2.85",8.6,CARD,8.55045E+15
8/8/2023 9:05,Uppingham,Andrew Finney,Regular Speciality Tea - Peppermint - 1.30,1.3,CARD,5.55458E+15
8/8/2023 9:06,Uppingham,Bette Ragan,Large Mocha - 2.70,2.7,CARD,4.41965E+15
8/8/2023 9:07,Uppingham,Barb Rogers,"Regular Speciality Tea - Peppermint - 1.30, Large Speciality Tea - Green - 1.60, Regular Smoothies - Berry Beautiful - 2.00",4.9,CARD,4.19491E+15
8/8/2023 9:08,Uppingham,Lupe Clayton,"Large Smoothies - Berry Beautiful - 2.50, Large Flavoured latte - Hazelnut - 2.85",5.35,CARD,9.3774E+15
8/8/2023 9:09,Uppingham,Gerald Kent,"Regular Speciality Tea - Peppermint - 1.30, Regular Hot chocolate - 2.20, Regular Flavoured latte - Hazelnut - 2.55",6.05,CASH,
8/8/2023 9:10,Uppingham,Kenneth Burgess,"Regular Flavoured latte - Caramel - 2.55, Regular Mocha - 2.30, Regular Flavoured hot chocolate - Vanilla - 2.60, Large Hot chocolate - 2.90, Large Mocha - 2.70",13.05,CARD,6.24305E+15
8/8/2023 9:11,Uppingham,Thomas Bissonnette,"Regular Flavoured hot chocolate - Vanilla - 2.60, Large Flavoured latte - Caramel - 2.85, Regular Hot chocolate - 2.20, Large Smoothies - Berry Beautiful - 2.50, Regular Flavoured latte - Caramel - 2.55",12.7,CARD,8.52956E+15
8/8/2023 9:12,Uppingham,Vincent Mason,"Large Flavoured latte - Caramel - 2.85, Large Speciality Tea - Green - 1.60",4.45,CARD,5.97568E+15
